nWT,nKO,nPresWT,nDivWT,nPresKO,nDivKO,percentTotalDivergence,percentTotalPreservation,k_WT_NS,k_WT_Di,k_WT_Pr,k_WT_NC,k_KO_NS,k_KO_Di,k_KO_Pr,k_KO_NC
2,2,1754,0,2917,0,0,0.800376970527759,0,0,2,1,0,0,3,1
2,2,1755,0,1890,0,0,0.624571624400274,0,0,2,1,0,0,2,1
2,2,1759,0,1905,0,0,0.627827278958191,0,0,2,1,0,0,2,1
2,2,1750,0,1896,0,0,0.624742974640165,0,0,2,1,0,0,2,1
2,2,1746,0,2890,0,0,0.794379712131597,0,0,2,1,0,0,3,1
2,2,1747,0,1876,0,0,0.620801919122687,0,0,2,1,0,0,2,1
2,2,1732,0,2863,0,0,0.787354352296093,0,0,2,1,0,0,3,1
2,2,1718,0,2819,0,0,0.777416038382454,0,0,2,1,0,0,3,1
2,2,1697,0,2765,0,0,0.764564770390679,0,0,2,1,0,0,3,1
2,2,1696,0,2763,0,0,0.764050719671008,0,0,2,1,0,0,3,1
2,2,1688,0,2729,0,0,0.756854009595613,0,0,2,1,0,0,3,1
2,2,1661,0,2712,0,0,0.749314599040439,0,0,2,1,0,0,3,1
2,2,1640,0,2667,0,0,0.738005483207676,0,0,2,1,0,0,3,1
2,2,1619,0,2633,0,0,0.728581220013708,0,0,2,1,0,0,3,1
3,3,2660,0,2618,0,0,0.904386566141193,0,0,3,1,0,0,3,1
3,3,2643,0,2580,0,0,0.894962302947224,0,0,3,1,0,0,3,1
3,3,2615,0,2532,0,0,0.881939684715559,0,0,3,1,0,0,3,1
3,3,2583,0,2478,0,0,0.86720356408499,0,0,3,1,0,0,3,1
3,3,2555,0,2461,0,0,0.859492803289925,0,0,3,1,0,0,3,1
3,3,2504,0,2411,0,0,0.842186429061001,0,0,3,1,0,0,3,1
3,3,2493,0,2382,0,0,0.835332419465387,0,0,3,1,0,0,3,1
3,3,2464,0,2263,0,0,0.809972583961618,0,0,3,1,0,0,3,1
3,3,2449,0,2310,0,0,0.815455791638108,0,0,3,1,0,0,3,1
3,3,2414,0,2268,0,0,0.802261823166553,0,0,3,1,0,0,3,1
3,3,2392,0,2278,0,0,0.800205620287868,0,0,3,1,0,0,3,1
3,3,2368,0,2240,0,0,0.789581905414668,0,0,3,1,0,0,3,1
3,3,2338,0,2133,0,0,0.766106922549692,0,0,3,1,0,0,3,1
3,3,2276,0,2129,0,0,0.75479780671693,0,0,3,1,0,0,3,1
4,4,2314,0,1764,509,0.0872172721041809,0.69876627827279,0,0,4,1,0,1,3,1
3,3,2267,0,2242,0,0,0.772618231665524,0,0,3,1,0,0,4,1
3,3,2219,0,1887,0,0,0.703564084989719,0,0,3,1,0,0,3,1
3,3,2190,0,1982,0,0,0.714873200822481,0,0,3,1,0,0,4,1
5,5,1784,621,1663,492,0.190712816997944,0.590644276901988,0,1,4,1,0,1,3,1
3,3,2105,0,1986,293,0.0502056202878684,0.700993831391364,0,0,3,1,0,1,5,1
6,6,1767,598,1606,494,0.187114461960247,0.577964359150103,0,1,5,1,0,1,4,1
5,5,1714,601,1923,220,0.140678546949966,0.623200822481152,0,1,4,1,0,1,4,1
5,5,1694,578,2022,0,0.0990404386566141,0.636737491432488,0,1,4,1,0,0,4,1
5,5,1614,577,1483,540,0.191398217957505,0.53067169294037,0,1,4,1,0,1,6,1
5,5,1695,559,2062,0,0.0957847840986977,0.643762851267992,0,1,4,1,0,0,7,1
5,5,2080,0,1574,516,0.0884167237834133,0.626113776559287,0,0,5,1,0,1,4,1
6,6,1650,544,1591,532,0.184372858122001,0.555346127484579,0,1,5,1,0,2,6,1
6,6,1683,537,1526,467,0.172035640849897,0.549862919808088,0,1,5,1,0,1,5,1
5,5,1537,527,2070,0,0.090301576422207,0.618060315284441,0,1,4,1,0,0,7,1
6,6,1617,527,1452,569,0.187799862919808,0.525873886223441,0,1,5,1,0,2,5,1
6,6,2122,0,1968,221,0.0378684030157642,0.700822481151474,0,0,6,1,0,2,7,1
5,5,1524,512,1716,399,0.156100068540096,0.555174777244688,0,1,4,1,0,1,7,1
7,7,1463,699,1469,739,0.246401644962303,0.502398903358465,0,2,5,1,0,3,6,1
6,6,2015,0,1793,234,0.0400959561343386,0.652501713502399,0,0,6,1,0,1,9,1
6,6,2019,0,1637,502,0.0860178204249486,0.626456477039068,0,0,6,1,0,2,9,1
7,7,1885,192,1553,721,0.156442769019877,0.589102124742975,0,1,6,1,0,3,10,1
7,7,1844,198,1920,96,0.0503769705277587,0.644962302947224,0,1,6,1,0,1,8,1
7,7,2013,0,1871,149,0.02553118574366,0.665524331734065,0,0,7,1,0,1,9,1
7,7,1952,0,1982,116,0.019876627827279,0.674091843728581,0,0,7,1,0,1,11,1
7,7,1886,0,1511,567,0.0971555860178204,0.582076764907471,0,0,7,1,0,2,9,1
7,7,1941,0,1824,286,0.0490061686086361,0.645133653187115,0,0,7,1,0,2,11,1
9,9,1875,129,1420,637,0.131254283755997,0.564599040438657,0,1,8,1,0,3,10,1
8,8,1904,0,1720,295,0.0505483207676491,0.620973269362577,0,0,8,1,0,2,11,1
8,8,1881,0,1543,609,0.104352296093215,0.58670322138451,0,0,8,1,0,4,12,1
8,8,1908,0,1473,669,0.114633310486635,0.579335161069225,0,0,8,1,0,4,11,1
9,9,1772,134,1324,706,0.143934201507882,0.53050034270048,0,1,8,1,0,5,10,1
8,8,1855,0,1914,74,0.0126799177518849,0.645819054146676,0,0,8,1,0,1,13,1
8,8,1846,0,1752,200,0.0342700479780672,0.616518163125428,0,0,8,1,0,2,14,1
9,9,1842,0,1557,380,0.0651130911583276,0.582419465387252,0,0,9,1,0,3,12,1
7,7,1675,0,1688,273,0.0467786154900617,0.5762508567512,0,0,7,1,0,3,13,1
10,10,1796,0,1635,241,0.0412954078135709,0.587902673063742,0,0,10,1,0,2,12,1
12,12,1768,65,1576,364,0.0735092529129541,0.572995202193283,0,1,11,1,0,4,13,1
10,10,1751,0,1663,212,0.0363262508567512,0.584989718985607,0,0,10,1,0,3,14,1
11,11,1792,0,1631,186,0.0318711446196025,0.58653187114462,0,0,11,1,0,2,13,1
9,9,1704,0,1579,198,0.0339273474982865,0.562542837559973,0,0,9,1,0,2,16,1
10,10,1706,0,1677,132,0.0226182316655243,0.579677861549006,0,0,10,1,0,2,15,1
12,12,1632,107,1465,352,0.0786497601096642,0.53067169294037,0,1,11,1,0,2,17,1
